Type,Method,Regionname,Rooms,Bathroom,Car,Distance,Distance_2,YearBuilt,YearBuilt_2,YearBuilt_3,Propertycount,Log_landsize,Log_buildingarea,CPI,SC_Distance,Jan_h,Feb_t,Log_price
h,S,Southern Metropolitan,3,2,2,11.0,121.0,1935,3744225,1344859217,3052,6.595780513961311,5.0106352940962555,1.004,15.451878211170737,0,0,14.256986746682081
h,S,Southern Metropolitan,3,2,2,11.0,121.0,2006,4024036,517718376,3052,5.863631175598097,5.43372200355424,1.004,16.506576361578517,0,0,14.323532856082068
h,S,Southern Metropolitan,3,1,1,11.0,121.0,1950,3802500,1175059592,3052,6.406879986069314,4.718498871295094,1.004,16.72301480426153,0,0,14.162640795773006
h,PI,Southern Metropolitan,2,1,1,11.0,121.0,1940,3763600,1288550592,3052,6.5337888379333435,4.653960350157523,1.004,16.192033951387497,0,0,14.180154365996387
h,PI,Southern Metropolitan,4,2,2,11.0,121.0,1935,3744225,1344859217,3052,6.244166900663736,5.484796933490655,1.004,16.27237654996368,0,0,14.397726736475999
h,S,Southern Metropolitan,4,2,2,11.0,121.0,1940,3763600,1288550592,3052,6.739336627357174,5.631211781821365,1.004,16.101395278413936,0,0,14.48334044336031
h,VB,Southern Metropolitan,2,1,2,12.2,148.83999999999997,1950,3802500,1175059592,2894,6.54534966033442,4.74493212836325,1.004,18.115310980561176,0,0,13.887832149776026
h,S,Southern Metropolitan,4,2,2,12.2,148.83999999999997,2000,4000000,589934592,2894,6.432940092739179,5.318119993844216,1.004,18.28698308745235,0,0,14.220976332738882
u,S,Southern Metropolitan,2,1,1,12.2,148.83999999999997,2003,4012009,553880565,2894,5.37989735354046,4.51085950651685,1.004,18.944825574822495,0,0,13.444448325847754
h,VB,Southern Metropolitan,3,2,2,12.2,148.83999999999997,1970,3880900,944561592,2894,6.733401891837359,5.293304824724492,1.004,18.57903884859101,0,0,13.997832948091215
h,S,Western Metropolitan,4,2,2,10.5,110.25,2008,4032064,493550080,4502,6.345636360828596,5.420534999272286,1.004,13.552329259161027,0,0,13.959611767738522
h,S,Western Metropolitan,3,1,2,10.5,110.25,1970,3880900,944561592,4502,6.3473892096560105,4.795790545596741,1.004,15.24689435374654,0,0,13.429849547739444
h,S,Western Metropolitan,3,1,1,10.5,110.25,1960,3841600,1060398592,4502,6.366470447731438,4.672828834461906,1.004,13.843708290452824,0,0,13.465954500233115
h,VB,Western Metropolitan,4,3,2,10.5,110.25,1992,3968064,685551104,4502,6.773080375655535,5.981414211254481,1.004,14.193826417627887,0,0,13.910821646859095
h,S,Western Metropolitan,3,1,1,10.5,110.25,1965,3861225,1002627467,4502,6.375024819828097,4.77912349311153,1.004,14.142988144403308,0,0,13.701782913083482
h,S,Western Metropolitan,3,2,1,10.5,110.25,1950,3802500,1175059592,4502,6.368187186350492,5.0369526024136295,1.004,15.096244838550508,0,0,13.359805810705184
h,S,Southern Metropolitan,3,1,1,6.6,43.559999999999995,1920,3686400,1512046592,2952,5.187385805840755,4.61512051684126,1.004,9.028000525446526,0,0,13.991982539302668
u,S,Southern Metropolitan,2,1,1,6.6,43.559999999999995,1960,3841600,1060398592,2952,0.0,3.912023005428146,1.004,9.35272320344009,0,0,12.938442943086665
u,S,Southern Metropolitan,2,1,1,6.6,43.559999999999995,1970,3880900,944561592,2952,0.0,4.0943445622221,1.004,8.800334487856603,0,0,13.06896471037963
u,VB,Southern Metropolitan,2,1,1,6.6,43.559999999999995,1970,3880900,944561592,2952,6.182084906716632,3.9512437185814275,1.004,9.923655707176355,0,0,13.199326270390594
h,VB,Southern Metropolitan,5,3,2,9.7,94.08999999999999,2001,4004001,577928591,5682,6.520621127558696,5.857933154483459,1.004,11.868539044761768,0,0,14.845130332288226
h,VB,Southern Metropolitan,2,1,1,9.7,94.08999999999999,1930,3724900,1400877592,5682,6.923628628138427,5.117993812416755,1.004,12.615726606835569,0,0,14.430696737594902
u,VB,Southern Metropolitan,2,1,1,9.7,94.08999999999999,1950,3802500,1175059592,5682,0.0,4.382026634673881,1.004,11.861396392611619,0,0,13.038983942375959
h,S,Southern Metropolitan,4,3,2,9.7,94.08999999999999,1910,3648100,1622063592,5682,6.915723448631314,5.860786223465865,1.004,13.421079401111758,0,0,15.006398426692876
h,PI,Southern Metropolitan,4,1,2,9.7,94.08999999999999,1930,3724900,1400877592,5682,6.606650186198215,5.676753802268282,1.004,11.292244430859965,0,0,14.508658238524095
h,PI,Southern Metropolitan,5,3,2,9.7,94.08999999999999,2009,4036081,481447863,5682,6.573680166960646,6.042632833682381,1.004,12.618358009521307,0,0,14.920767720476825
h,S,Southern Metropolitan,5,2,2,9.7,94.08999999999999,1960,3841600,1060398592,5682,6.889591308354466,5.564520407322694,1.004,11.045582643246078,0,0,14.711598990684092
h,PI,Southern Metropolitan,5,4,2,9.2,84.63999999999999,2013,4052169,432918395,7809,6.787844982309579,6.255750041753367,1.004,14.092522093060989,0,0,14.99416586199818
t,S,Southern Metropolitan,3,2,1,9.2,84.63999999999999,2003,4012009,553880565,7809,5.337538079701318,4.976733742420574,1.004,15.457168615501349,0,0,13.955273369904273
h,S,Southern Metropolitan,3,3,1,9.2,84.63999999999999,2012,4048144,445068864,7809,5.739792912179234,5.241747015059643,1.004,15.659502412327491,0,0,14.0225255403564
h,S,Southern Metropolitan,4,3,2,9.2,84.63999999999999,1970,3880900,944561592,7809,6.501289670540389,5.4510384535657,1.004,15.361113629059343,0,0,14.48334044336031
h,PI,Southern Metropolitan,4,2,2,9.2,84.63999999999999,1960,3841600,1060398592,7809,7.119635638017636,5.2832037287379885,1.004,14.135654061962995,0,0,14.741752016731123
h,S,Southern Metropolitan,4,3,1,9.2,84.63999999999999,2003,4012009,553880565,7809,6.807934943699926,6.042632833682381,1.004,14.07250217071128,0,0,15.027451829558391
h,SP,Southern Metropolitan,2,1,1,9.2,84.63999999999999,1975,3900625,886200217,7809,5.181783550292085,4.454347296253507,1.004,12.871809512486307,0,0,13.437175577097312
h,S,Southern Metropolitan,3,2,2,9.2,84.63999999999999,2009,4036081,481447863,7809,5.910796644040527,5.181783550292085,1.004,16.112383064842742,0,0,14.104442598879876
h,PI,Southern Metropolitan,5,3,2,9.2,84.63999999999999,1961,3845521,1048867911,7809,6.736966958001855,5.303304908059076,1.004,15.443293782036191,0,0,14.444119750719839
h,PI,Southern Metropolitan,4,2,2,9.2,84.63999999999999,1960,3841600,1060398592,7809,6.553933404025811,5.293304824724492,1.004,16.35730964821308,0,0,14.240778946963175
h,VB,Southern Metropolitan,4,2,5,9.2,84.63999999999999,1960,3841600,1060398592,7809,6.626717749249025,5.170483995038151,1.004,15.525873603181864,0,0,14.346139397261565
h,S,Southern Metropolitan,3,2,1,9.2,84.63999999999999,2003,4012009,553880565,7809,5.337538079701318,4.976733742420574,1.004,15.457168615501349,0,0,13.852807306098644
h,PI,Southern Metropolitan,5,3,2,9.2,84.63999999999999,1950,3802500,1175059592,7809,6.6039438246004725,5.267858159063328,1.004,14.904254827516478,0,0,14.322328762742183
h,S,Southern Metropolitan,3,2,2,13.0,169.0,2000,4000000,589934592,6795,5.703782474656201,5.204006687076795,1.004,19.813840129369304,0,0,14.01640931832674
h,S,Southern Metropolitan,3,1,1,13.0,169.0,1945,3783025,1231950967,6795,6.3578422665081,4.852030263919617,1.004,17.114016751658657,0,0,14.09124731841065
u,PI,Southern Metropolitan,2,1,1,13.0,169.0,1965,3861225,1002627467,6795,0.0,4.248495242049359,1.004,20.86627370597453,0,0,12.793862088206213
t,S,Southern Metropolitan,4,3,2,13.0,169.0,2012,4048144,445068864,6795,5.676753802268282,5.3612921657094255,1.004,19.275301481375177,0,0,14.176676104039727
h,S,Southern Metropolitan,3,1,2,13.0,169.0,1940,3763600,1288550592,6795,6.541029999189903,5.10594547390058,1.004,19.661232306251364,0,0,13.919871474189012
h,S,Southern Metropolitan,4,2,2,13.0,169.0,1928,3717184,1423203840,6795,6.679599185844383,5.5254529391317835,1.004,17.82923595621628,0,0,14.70545772517636
h,PI,Southern Metropolitan,3,1,2,13.0,169.0,1950,3802500,1175059592,6795,6.543911845564792,4.836281906951478,1.004,20.633576766613125,0,0,13.968232503350668
h,S,Southern Metropolitan,4,2,4,13.0,169.0,1950,3802500,1175059592,6795,6.602587892189336,5.652489180268651,1.004,19.77181364501292,0,0,14.462614323582885
u,S,Southern Metropolitan,2,1,1,13.9,193.21,1980,3920400,827542592,10969,4.343805421853684,4.382026634673881,1.004,21.728128720965486,0,0,13.112315061750808
h,S,Southern Metropolitan,4,2,2,13.9,193.21,1950,3802500,1175059592,10969,6.373319789577012,5.187385805840755,1.004,21.849257125566307,0,0,14.014362236381235
h,S,Southern Metropolitan,3,1,2,13.9,193.21,1950,3802500,1175059592,10969,6.338594078203183,4.709530201312334,1.004,23.22873239782968,0,0,13.69334405393293
t,PI,Southern Metropolitan,3,2,2,13.9,193.21,2012,4048144,445068864,10969,5.680172609017068,4.955827057601261,1.004,21.149811841816,0,0,13.629182184591333
t,S,Southern Metropolitan,4,3,2,13.9,193.21,2014,4056196,420755848,10969,5.676753802268282,5.407171771460119,1.004,21.874829657230023,0,0,14.006131744018864
t,S,Southern Metropolitan,4,2,2,13.9,193.21,2006,4024036,517718376,10969,5.7745515455444085,5.198497031265826,1.004,21.049395050099747,0,0,13.963931425151141
t,S,Southern Metropolitan,3,2,1,13.9,193.21,2000,4000000,589934592,10969,5.594711379601839,4.770684624465665,1.004,21.469541836193926,0,0,13.598598798635953
h,S,Southern Metropolitan,4,2,1,13.9,193.21,2004,4016016,541838528,10969,5.616771097666572,5.25227342804663,1.004,22.532916524365028,0,0,13.910821646859095
h,S,Southern Metropolitan,3,1,4,13.9,193.21,1950,3802500,1175059592,10969,6.588926477533519,4.882801922586371,1.004,20.627287950201897,0,0,13.864301674514206
h,S,Southern Metropolitan,2,2,1,13.9,193.21,2005,4020025,529784467,10969,5.308267697401205,4.382026634673881,1.004,22.248583362985304,0,0,13.489781802915555
h,SP,Southern Metropolitan,3,1,2,13.9,193.21,1960,3841600,1060398592,10969,6.3784261836515865,4.897839799950911,1.004,22.460277982500685,0,0,13.742940940397677
h,S,Southern Metropolitan,3,2,1,13.9,193.21,2000,4000000,589934592,10969,5.676753802268282,4.787491742782046,1.004,22.61343841556591,0,0,13.733216401013184
h,PI,Southern Metropolitan,4,1,2,13.9,193.21,1950,3802500,1175059592,10969,6.415096959171596,5.081404364984463,1.004,21.436224933165953,0,0,13.849912950864715
t,S,Southern Metropolitan,4,2,1,13.9,193.21,2010,4040100,469333592,10969,5.75890177387728,5.25227342804663,1.004,22.351395773334794,0,0,13.85952840031839
u,S,Southern Metropolitan,2,1,1,13.9,193.21,2000,4000000,589934592,10969,5.043425116919247,4.394449154672439,1.004,20.117542711445616,0,0,13.39239204133378
h,S,Southern Metropolitan,5,3,2,13.9,193.21,1950,3802500,1175059592,10969,6.436150368369428,5.552959584921617,1.004,18.70979334970174,0,0,14.253766134056512
h,S,Southern Metropolitan,3,1,1,13.9,193.21,1980,3920400,827542592,10969,5.5254529391317835,4.663439094112067,1.004,18.907956554297698,0,0,13.635188201437066
t,S,Southern Metropolitan,4,2,2,13.9,193.21,2015,4060225,408581217,10969,5.768320995793772,5.54907608489522,1.004,20.75003457792252,0,0,14.19736648302693
h,S,Southern Metropolitan,3,1,1,13.9,193.21,1950,3802500,1175059592,10969,6.376726947898627,4.574710978503383,1.004,22.600832629111558,0,0,13.721200977393528
u,SP,Southern Metropolitan,3,2,1,13.9,193.21,2007,4028049,505640249,10969,5.963579343618446,4.820281565605037,1.004,21.53457235031945,0,0,13.732130035981154
h,S,Southern Metropolitan,3,1,2,13.9,193.21,1949,3798601,1186461243,10969,6.541029999189903,4.997212273764115,1.004,20.746597928693596,0,0,13.995329819961649
u,SP,Southern Metropolitan,2,2,2,13.9,193.21,2011,4044121,457207261,10969,0.0,4.430816798843313,1.004,22.684785213759906,0,0,13.091906231773164
h,PI,Southern Metropolitan,4,1,1,13.9,193.21,1960,3841600,1060398592,10969,6.368187186350492,5.0238805208462765,1.004,19.909604365012445,0,0,14.126665719201661
u,S,Southern Metropolitan,2,1,1,13.9,193.21,1995,3980025,649784717,10969,5.272999558563747,4.74493212836325,1.004,19.66525595919255,0,0,13.480039220276565
h,S,Southern Metropolitan,3,2,1,13.9,193.21,2012,4048144,445068864,10969,5.225746673713202,4.812184355372417,1.004,21.900776939138403,0,0,13.694473358254752
h,S,Eastern Metropolitan,4,2,1,13.1,171.60999999999999,1890,3572100,1838665592,4605,6.541029999189903,5.278114659230517,1.004,16.112365024731467,0,0,14.285514812209815
h,VB,Eastern Metropolitan,3,1,2,13.1,171.60999999999999,1945,3783025,1231950967,4605,6.638567789166521,4.795790545596741,1.004,15.008347971267998,0,0,15.201805169084134
h,S,Eastern Metropolitan,3,1,1,13.1,171.60999999999999,1890,3572100,1838665592,4605,5.730099782973574,4.672828834461906,1.004,15.453625590080948,0,0,13.740788089353964
h,S,Eastern Metropolitan,3,1,1,13.1,171.60999999999999,1920,3686400,1512046592,4605,6.628041376179533,4.564348191467836,1.004,16.011203260004635,0,0,13.972515161474428
h,S,Eastern Metropolitan,3,1,1,13.1,171.60999999999999,1930,3724900,1400877592,4605,6.20050917404269,4.787491742782046,1.004,15.75659839978788,0,0,13.66119436444038
t,S,Eastern Metropolitan,3,2,1,13.1,171.60999999999999,2000,4000000,589934592,4605,5.476463551931511,4.875197323201151,1.004,16.37182484669199,0,0,13.620104977426395
u,S,Western Metropolitan,3,2,1,10.8,116.64000000000001,2006,4024036,517718376,3589,5.793013608384144,4.8283137373023015,1.004,12.572473214387669,0,0,13.112315061750808
h,S,Western Metropolitan,3,1,1,10.8,116.64000000000001,2005,4020025,529784467,3589,5.0689042022202315,4.9344739331306915,1.004,12.606422774747191,0,0,13.112315061750808
h,S,Southern Metropolitan,3,2,2,11.2,125.43999999999998,1970,3880900,944561592,10579,6.139884552226255,5.3471075307174685,1.004,13.860440811270054,0,0,14.557448378884015
u,S,Southern Metropolitan,2,1,1,11.2,125.43999999999998,1960,3841600,1060398592,10579,4.51085950651685,4.31748811353631,1.004,14.919105183211965,0,0,13.592368256649284
h,S,Southern Metropolitan,4,2,3,11.2,125.43999999999998,1920,3686400,1512046592,10579,6.423246963533519,4.912654885736052,1.004,12.968979681472668,0,0,14.381392955337352
h,S,Southern Metropolitan,3,2,2,11.2,125.43999999999998,1993,3972049,673640935,10579,0.0,5.147494476813453,1.004,14.565960073454278,0,0,14.079796820363683
h,S,Southern Metropolitan,5,3,2,11.2,125.43999999999998,1938,3755844,1311108920,10579,6.79794041297493,6.049733455231958,1.004,15.742687925341862,0,0,14.819812533461441
h,VB,Southern Metropolitan,5,3,4,11.2,125.43999999999998,1890,3572100,1838665592,10579,7.360739903058278,5.723585101952381,1.004,15.328178987478733,0,0,15.123843647884687
h,S,Southern Metropolitan,4,2,2,11.2,125.43999999999998,1990,3960100,709335592,10579,6.736966958001855,5.7430031878094825,1.004,16.129872173972377,0,0,15.176487367510099
u,S,Southern Metropolitan,2,1,1,11.2,125.43999999999998,2005,4020025,529784467,10579,0.0,4.330733340286331,1.004,15.077652414174498,0,0,13.321215875492413
h,S,Southern Metropolitan,4,1,2,11.2,125.43999999999998,1970,3880900,944561592,10579,6.54534966033442,4.962844630259907,1.004,15.869778291054212,0,0,14.693060877322328
h,PI,Southern Metropolitan,4,3,2,10.7,114.48999999999998,1973,3892729,909580275,6938,6.38856140554563,6.38856140554563,1.004,14.58746719384876,0,0,14.417091092943783
h,VB,Southern Metropolitan,5,2,1,10.7,114.48999999999998,1935,3744225,1344859217,6938,6.902742737158593,5.616771097666572,1.004,16.94850517263158,0,0,14.346139397261565
h,VB,Southern Metropolitan,5,3,4,10.7,114.48999999999998,1930,3724900,1400877592,6938,6.715383386334681,5.4638318050256105,1.004,16.390629309658827,0,0,14.151983508870947
h,S,Southern Metropolitan,3,2,2,10.7,114.48999999999998,2000,4000000,589934592,6938,5.755742213586912,5.43372200355424,1.004,16.967810824471375,0,0,14.220976332738882
h,S,Southern Metropolitan,4,2,1,10.7,114.48999999999998,1920,3686400,1512046592,6938,6.403574197934815,5.181783550292085,1.004,15.930953572080632,0,0,14.240778946963175
h,PI,Southern Metropolitan,4,2,2,10.7,114.48999999999998,2000,4000000,589934592,6938,6.484635235635252,5.659482215759621,1.004,18.544994314856517,0,0,14.603968372873895
t,S,Southern Metropolitan,3,2,2,10.7,114.48999999999998,1980,3920400,827542592,6938,5.697093486505405,5.267858159063328,1.004,15.765970336673506,0,0,14.0225255403564
h,S,Southern Metropolitan,4,1,2,10.7,114.48999999999998,1930,3724900,1400877592,6938,6.48768401848461,5.017279836814924,1.004,15.504050022319005,0,0,14.144095341678627
h,S,Southern Metropolitan,4,2,2,10.7,114.48999999999998,1930,3724900,1400877592,6938,6.630683385642372,4.875197323201151,1.004,16.957990744987868,0,0,14.652758515398315
u,S,Northern Metropolitan,2,1,1,5.2,27.040000000000003,2000,4000000,589934592,11918,0.0,4.204692619390966,1.004,5.426761531993832,0,0,12.923914877701906
u,PI,Northern Metropolitan,1,1,1,5.2,27.040000000000003,1970,3880900,944561592,11918,0.0,3.713572066704308,1.004,7.3068125653340115,0,0,12.515397562803473
h,PI,Northern Metropolitan,3,3,1,5.2,27.040000000000003,2016,4064256,396394496,11918,4.406719247264253,4.61512051684126,1.004,7.807254193744908,0,0,13.429849547739444
u,S,Northern Metropolitan,2,1,1,5.2,27.040000000000003,1970,3880900,944561592,11918,0.0,4.127134385045092,1.004,7.730359924509954,0,0,12.899222326086994
h,SP,Northern Metropolitan,3,1,0,5.2,27.040000000000003,1910,3648100,1622063592,11918,5.14166355650266,4.574710978503383,1.004,7.2376219258062795,0,0,13.76421831620775
h,S,Northern Metropolitan,3,2,1,5.2,27.040000000000003,2005,4020025,529784467,11918,5.484796933490655,5.093750200806762,1.004,7.446586101533994,0,0,13.791218889984869
t,SP,Northern Metropolitan,3,2,1,5.2,27.040000000000003,1900,3610000,1730934592,11918,0.0,4.727387818712341,1.004,5.38175377787679,0,0,13.370786295963992
h,S,Northern Metropolitan,3,1,1,5.2,27.040000000000003,1900,3610000,1730934592,11918,5.351858133476067,4.875197323201151,1.004,6.665919347218978,0,0,13.623139877437296
h,S,Northern Metropolitan,3,1,1,5.2,27.040000000000003,1910,3648100,1622063592,11918,5.37989735354046,4.61512051684126,1.004,6.345033740989477,0,0,14.047416407968154
h,S,Northern Metropolitan,3,1,2,5.2,27.040000000000003,1890,3572100,1838665592,11918,5.407171771460119,4.663439094112067,1.004,7.440139050192699,0,0,13.85952840031839
t,PI,Northern Metropolitan,1,1,1,5.2,27.040000000000003,1930,3724900,1400877592,11918,4.418840607796598,4.74493212836325,1.004,6.560779160547589,0,0,13.345508528717259
h,S,Northern Metropolitan,3,2,1,5.2,27.040000000000003,1945,3783025,1231950967,11918,0.0,5.278114659230517,1.004,5.27707257122973,0,0,14.346139397261565
u,SP,Northern Metropolitan,2,1,1,5.2,27.040000000000003,1973,3892729,909580275,11918,0.0,4.060443010546419,1.004,7.632921254211059,0,0,12.983103608918753
h,S,Northern Metropolitan,3,1,2,5.2,27.040000000000003,1940,3763600,1288550592,11918,5.953243334287785,4.499809670330265,1.004,6.255541854941921,0,0,13.800397935382136
h,S,Northern Metropolitan,3,1,1,5.2,27.040000000000003,1890,3572100,1838665592,11918,6.182084906716632,5.093750200806762,1.004,6.592739048665167,0,0,14.038654909278163
t,SP,Northern Metropolitan,3,2,1,5.2,27.040000000000003,1900,3610000,1730934592,11918,0.0,4.727387818712341,1.004,5.38175377787679,0,0,13.370786295963992
h,S,Northern Metropolitan,2,1,1,5.2,27.040000000000003,1910,3648100,1622063592,11918,5.087596335232384,4.23410650459726,1.004,6.4814575218104755,0,0,13.465954500233115
h,S,Northern Metropolitan,4,1,1,5.2,27.040000000000003,1920,3686400,1512046592,11918,6.0330862217988015,4.867534450455582,1.004,6.032032088382101,0,0,14.397726736475999
